fonte,produto,ano,cidade,preco_padrao,unidade_padrao,fonte_conversao,descricao
federal,caneta_esferografica,2019,Federal/ES,0.4233,unidade,unitario,CANETA ESFEROGRÁFICA
federal,acucar,2019,Federal/ES,11.2,kg,heuristica,'AÇÚCAR'
federal,cafe,2019,Federal/ES,13.899,kg,heuristica,'CAFÉ'
federal,ar_condicionado,2019,Federal/ES,2994.0,unidade,unitario,AR CONDICIONADO - MANUTENCAO DE APARELHOS DE PAREDE
federal,agua_mineral,2019,Federal/ES,10.74,litro,heuristica,ÁGUA MINERAL NATURAL
federal,tubo_pvc,2019,Federal/ES,9.2,metro,unitario,TUBO PVC SOLDÁVEL
federal,envelope,2019,Federal/ES,0.15,unidade,unitario,'ENVELOPE'
federal,acucar,2019,Federal/ES,5.25,kg,heuristica,'AÇÚCAR'
federal,acucar,2019,Federal/ES,3.35,kg,heuristica,'AÇÚCAR'
federal,arroz,2019,Federal/ES,2.596,kg,heuristica,'ARROZ'
federal,achocolatado,2019,Federal/ES,22.375,kg,heuristica,'ACHOCOLATADO'
federal,feijao,2019,Federal/ES,6.88,kg,heuristica,FEIJÃO
federal,leite_po,2019,Federal/ES,29.5,kg,heuristica,LEITE EM PÓ
federal,leite_po,2019,Federal/ES,29.5,kg,heuristica,LEITE EM PÓ
federal,leite_integral,2019,Federal/ES,2.98,litro,heuristica,LEITE FLUIDO
federal,leite_integral,2019,Federal/ES,2.98,litro,heuristica,LEITE FLUIDO
federal,macarrao,2019,Federal/ES,7.36,kg,heuristica,'MACARRÃO'
federal,macarrao,2019,Federal/ES,7.16,kg,heuristica,'MACARRÃO'
federal,macarrao,2019,Federal/ES,7.3,kg,heuristica,'MACARRÃO'
federal,suco,2019,Federal/ES,16.9,litro,heuristica,SUCO
federal,vinagre,2019,Federal/ES,10.2667,litro,heuristica,VINAGRE
federal,carne_bovina,2019,Federal/ES,15.9,kg,heuristica,CARNE BOVINA IN NATURA
federal,carne_bovina,2019,Federal/ES,19.9,kg,heuristica,CARNE BOVINA IN NATURA
federal,margarina,2019,Federal/ES,15.1,kg,heuristica,'MARGARINA'
federal,carne_bovina,2019,Federal/ES,16.9,kg,heuristica,CARNE BOVINA IN NATURA
federal,ovos,2019,Federal/ES,6.25,duzia,unitario,BANDEJA OVOS
federal,carne_bovina,2019,Federal/ES,19.9,kg,heuristica,CARNE BOVINA IN NATURA
federal,cebola,2019,Federal/ES,4.29,kg,heuristica,CEBOLA IN NATURA
federal,chuchu,2019,Federal/ES,1.79,kg,heuristica,CHUCHU IN NATURA
federal,tijolo,2019,Federal/ES,16.0,unidade,unitario,BLOCO DE CONCRETO
federal,tubo_pvc,2019,Federal/ES,9.9,metro,unitario,TUBO PVC SOLDÁVEL
federal,acucar,2019,Federal/ES,9.29,kg,heuristica,'AÇÚCAR'
federal,cafe,2019,Federal/ES,41.52,kg,heuristica,'CAFÉ'
federal,cafe,2019,Federal/ES,21.54,kg,heuristica,'CAFÉ'
federal,cafe,2019,Federal/ES,19.74,kg,heuristica,'CAFÉ'
federal,agua_sanitaria,2019,Federal/ES,2.07,litro,heuristica,ÁGUA SANITÁRIA
federal,alcool,2019,Federal/ES,4.2,litro,heuristica,ÁLCOOL ETÍLICO
federal,alcool,2019,Federal/ES,4.65,litro,heuristica,ÁLCOOL ETÍLICO
federal,detergente,2019,Federal/ES,2.6,litro,heuristica,DETERGENTE
federal,vassoura,2019,Federal/ES,12.55,unidade,unitario,VASSOURA
federal,toner,2019,Federal/ES,34.0,unidade,unitario,CARTUCHO TONER IMPRESSORA HP
federal,toner,2019,Federal/ES,34.0,unidade,unitario,CARTUCHO TONER IMPRESSORA HP
federal,acucar,2019,Federal/ES,9.39,kg,heuristica,'AÇÚCAR'
federal,torneira,2019,Federal/ES,84.0,unidade,unitario,TORNEIRA
federal,disjuntor,2019,Federal/ES,55.0,unidade,unitario,DISJUNTOR BAIXA TENSÃO
federal,disjuntor,2019,Federal/ES,8.9,unidade,unitario,DISJUNTOR BAIXA TENSÃO
federal,ar_condicionado,2019,Federal/ES,1450.0,unidade,unitario,AR CONDICIONADO - MANUTENCAO DE APARELHOS DE PAREDE
federal,gasolina,2019,Federal/ES,4.39,litro,quantidade_litros,GASOLINA COMUM
federal,sinvastatina,2019,Federal/ES,0.0599,unidade,unitario,SINVASTATINA
federal,losartana,2019,Federal/ES,0.07,unidade,unitario,LOSARTANA POTÁSSICA
federal,captopril,2019,Federal/ES,0.03,unidade,unitario,CAPTOPRIL
federal,furosemida,2019,Federal/ES,0.05,unidade,unitario,FUROSEMIDA
federal,salbutamol,2019,Federal/ES,8.0,unidade,unitario,SALBUTAMOL
federal,metronidazol,2019,Federal/ES,1.66,unidade,unitario,METRONIDAZOL
federal,bebedouro,2019,Federal/ES,2040.0,unidade,unitario,BEBEDOURO ÁGUA
federal,agua_mineral,2019,Federal/ES,6.44,litro,heuristica,ÁGUA MINERAL NATURAL
federal,agua_mineral,2019,Federal/ES,7.85,litro,heuristica,ÁGUA MINERAL NATURAL
federal,agua_mineral,2019,Federal/ES,7.95,litro,heuristica,ÁGUA MINERAL NATURAL
federal,agua_mineral,2019,Federal/ES,7.92,litro,heuristica,ÁGUA MINERAL NATURAL
federal,agua_mineral,2019,Federal/ES,8.07,litro,heuristica,ÁGUA MINERAL NATURAL
federal,cafe,2019,Federal/ES,22.7,kg,heuristica,'CAFÉ'
federal,cafe,2019,Federal/ES,25.7,kg,heuristica,'CAFÉ'
federal,carne_bovina,2019,Federal/ES,12.5,kg,heuristica,CARNE BOVINA IN NATURA
federal,carne_bovina,2019,Federal/ES,17.2,kg,heuristica,CARNE BOVINA IN NATURA
federal,carne_bovina,2019,Federal/ES,20.8,kg,heuristica,CARNE BOVINA IN NATURA
federal,carne_bovina,2019,Federal/ES,15.6,kg,heuristica,CARNE BOVINA IN NATURA
